,site,day,date,start_time,end_time,flow,cong,dsat,ObjectId
35,N01111A,TU,04/01/2022,2022/11/07 11:45:00+00,12:00,0.844311377245509,0.0,0.3950617283950617,36
44,N01111A,TU,04/01/2022,2022/11/07 14:00:00+00,14:15,0.9700598802395209,0.0,0.41975308641975306,45
343,N01111A,MO,03/01/2022,2022/11/07 12:45:00+00,13:00,0.6447105788423154,0.0,0.2962962962962963,344
351,N01111A,TU,04/01/2022,2022/11/07 15:45:00+00,16:00,0.7245508982035929,0.0,0.32098765432098764,352
400,N01111A,TH,06/01/2022,2022/11/07 17:30:00+00,17:45,0.8163672654690619,0.5,0.35802469135802467,401
535,N01111A,FR,07/01/2022,2022/11/07 14:45:00+00,15:00,0.8702594810379242,0.0,0.3333333333333333,536
695,N01111A,WE,05/01/2022,2022/11/07 14:45:00+00,15:00,0.9760479041916168,0.0,0.4074074074074074,696
701,N01111A,WE,05/01/2022,2022/11/07 16:15:00+00,16:30,0.7405189620758483,0.0,0.32098765432098764,702
781,N01111A,TH,06/01/2022,2022/11/07 12:45:00+00,13:00,0.9820359281437125,1.0,0.48148148148148145,782
811,N01111A,WE,12/01/2022,2022/11/07 13:45:00+00,14:00,0.7345309381237525,0.0,0.345679012345679,812
814,N01111A,WE,12/01/2022,2022/11/07 14:30:00+00,14:45,0.8622754491017964,0.0,0.30864197530864196,815
815,N01111A,WE,12/01/2022,2022/11/07 14:45:00+00,15:00,0.6387225548902196,0.0,0.25925925925925924,816
1000,N01111A,MO,10/01/2022,2022/11/07 11:15:00+00,11:30,0.8423153692614771,0.0,0.38271604938271603,1001
1030,N01111A,MO,10/01/2022,2022/11/07 12:00:00+00,12:15,0.8902195608782435,0.25,0.3950617283950617,1031
1069,N01111A,TU,11/01/2022,2022/11/07 11:45:00+00,12:00,0.8263473053892215,0.25,0.37037037037037035,1070
1074,N01111A,TU,11/01/2022,2022/11/07 13:00:00+00,13:15,0.936127744510978,0.5,0.4444444444444444,1075
1078,N01111A,TU,11/01/2022,2022/11/07 14:00:00+00,14:15,0.9461077844311377,0.25,0.4074074074074074,1079
1083,N01111A,TU,11/01/2022,2022/11/07 15:15:00+00,15:30,0.9021956087824351,0.0,0.41975308641975306,1084
1092,N01111A,TU,11/01/2022,2022/11/07 17:30:00+00,17:45,0.936127744510978,1.0,0.4074074074074074,1093
1094,N01111A,TU,11/01/2022,2022/11/07 18:00:00+00,18:15,0.7624750499001997,0.0,0.37037037037037035,1095
1257,N01111A,FR,14/01/2022,2022/11/07 14:00:00+00,14:15,0.8862275449101796,0.5,0.35802469135802467,1258
1370,N01111A,SU,16/01/2022,2022/11/07 12:00:00+00,12:15,0.720558882235529,0.25,0.30864197530864196,1371
1378,N01111A,SU,16/01/2022,2022/11/07 14:00:00+00,14:15,0.8882235528942116,0.0,0.41975308641975306,1379
1420,N01111A,MO,17/01/2022,2022/11/07 10:45:00+00,11:00,0.7485029940119761,1.0,0.30864197530864196,1421
1423,N01111A,MO,17/01/2022,2022/11/07 11:30:00+00,11:45,0.9301397205588823,0.0,0.4074074074074074,1424
1429,N01111A,MO,17/01/2022,2022/11/07 13:00:00+00,13:15,0.906187624750499,0.0,0.4074074074074074,1430
1464,N01111A,TH,13/01/2022,2022/11/07 17:15:00+00,17:30,0.8043912175648703,0.0,0.38271604938271603,1465
1662,N01111A,WE,19/01/2022,2022/11/07 18:45:00+00,19:00,0.9001996007984032,0.25,0.38271604938271603,1663
1767,N01111A,FR,21/01/2022,2022/11/07 13:45:00+00,14:00,0.8782435129740519,0.25,0.35802469135802467,1768
1896,N01111A,WE,19/01/2022,2022/11/07 11:00:00+00,11:15,0.844311377245509,0.0,0.38271604938271603,1897
1921,N01111A,TH,20/01/2022,2022/11/07 15:30:00+00,15:45,0.9281437125748503,0.25,0.43209876543209874,1922
1938,N01111A,TU,18/01/2022,2022/11/07 11:45:00+00,12:00,0.9401197604790419,0.0,0.43209876543209874,1939
1943,N01111A,TU,18/01/2022,2022/11/07 13:00:00+00,13:15,0.8063872255489022,0.0,0.345679012345679,1944
1948,N01111A,TU,18/01/2022,2022/11/07 14:15:00+00,14:30,0.7744510978043913,0.5,0.3333333333333333,1949
1958,N01111A,TU,18/01/2022,2022/11/07 16:45:00+00,17:00,0.9960079840319361,0.0,0.4567901234567901,1959
1974,N01111A,WE,19/01/2022,2022/11/07 14:45:00+00,15:00,0.9041916167664671,0.25,0.4074074074074074,1975
1981,N01111A,WE,19/01/2022,2022/11/07 16:30:00+00,16:45,0.8163672654690619,0.0,0.30864197530864196,1982
2095,N01111A,TU,25/01/2022,2022/11/07 10:15:00+00,10:30,0.9940119760479041,0.25,0.41975308641975306,2096
2116,N01111A,MO,24/01/2022,2022/11/07 10:45:00+00,11:00,0.8602794411177644,0.25,0.3333333333333333,2117
2125,N01111A,TU,25/01/2022,2022/11/07 11:30:00+00,11:45,0.9321357285429142,0.0,0.3950617283950617,2126
2134,N01111A,MO,24/01/2022,2022/11/07 11:45:00+00,12:00,0.8902195608782435,0.0,0.43209876543209874,2135
2141,N01111A,TU,25/01/2022,2022/11/07 12:30:00+00,12:45,0.9880239520958084,0.25,0.41975308641975306,2142
2146,N01111A,TU,25/01/2022,2022/11/07 13:45:00+00,14:00,0.9840319361277445,0.0,0.3950617283950617,2147
2202,N01111A,MO,24/01/2022,2022/11/07 12:30:00+00,12:45,0.9121756487025948,0.25,0.37037037037037035,2203
2287,N01111A,MO,24/01/2022,2022/11/07 16:15:00+00,16:30,0.8163672654690619,0.25,0.38271604938271603,2288
2291,N01111A,MO,24/01/2022,2022/11/07 17:15:00+00,17:30,0.8502994011976048,0.0,0.37037037037037035,2292
2414,N01111A,FR,28/01/2022,2022/11/07 17:45:00+00,18:00,0.9221556886227545,0.0,0.3950617283950617,2415
2488,N01111A,SA,29/01/2022,2022/11/07 18:00:00+00,18:15,0.6766467065868264,0.5,0.30864197530864196,2489
2575,N01111A,WE,26/01/2022,2022/11/07 09:00:00+00,09:15,0.8682634730538922,0.5,0.32098765432098764,2576
2613,N01111A,TH,27/01/2022,2022/11/07 15:45:00+00,16:00,0.9041916167664671,0.0,0.3950617283950617,2614
2628,N01111A,WE,26/01/2022,2022/11/07 18:30:00+00,18:45,0.906187624750499,0.0,0.37037037037037035,2629
2682,N01111A,TH,27/01/2022,2022/11/07 17:45:00+00,18:00,0.8662674650698603,0.25,0.3950617283950617,2683
2725,N01111A,TH,27/01/2022,2022/11/07 09:45:00+00,10:00,0.7924151696606786,0.0,0.30864197530864196,2726
2758,N01111A,FR,28/01/2022,2022/11/07 12:00:00+00,12:15,0.8642714570858283,0.75,0.4074074074074074,2759
2765,N01111A,FR,28/01/2022,2022/11/07 13:45:00+00,14:00,0.9560878243512974,0.25,0.41975308641975306,2766
2883,N01111A,MO,31/01/2022,2022/11/07 13:00:00+00,13:15,0.7764471057884231,0.25,0.3333333333333333,2884
2942,N01111A,TU,01/02/2022,2022/11/07 15:45:00+00,16:00,0.9141716566866267,0.0,0.41975308641975306,2943
2948,N01111A,TU,01/02/2022,2022/11/07 17:15:00+00,17:30,0.9740518962075848,0.0,0.3950617283950617,2949
3017,N01111A,WE,02/02/2022,2022/11/07 11:15:00+00,11:30,0.9940119760479041,0.0,0.41975308641975306,3018
3037,N01111A,WE,02/02/2022,2022/11/07 16:15:00+00,16:30,0.9421157684630739,0.0,0.41975308641975306,3038
3044,N01111A,WE,02/02/2022,2022/11/07 18:00:00+00,18:15,0.9920159680638723,0.25,0.4074074074074074,3045
3285,N01111A,FR,04/02/2022,2022/11/07 09:00:00+00,09:15,0.8483033932135728,0.0,0.3333333333333333,3286
3570,N01111A,TH,03/02/2022,2022/11/07 19:45:00+00,20:00,0.7325349301397206,0.25,0.25925925925925924,3571
3625,N01111A,TH,10/02/2022,2022/11/07 08:45:00+00,09:00,0.9141716566866267,0.0,0.38271604938271603,3626
3626,N01111A,TH,10/02/2022,2022/11/07 09:00:00+00,09:15,0.9321357285429142,0.25,0.35802469135802467,3627
3645,N01111A,TH,10/02/2022,2022/11/07 13:45:00+00,14:00,0.9900199600798403,0.0,0.3950617283950617,3646
3650,N01111A,MO,07/02/2022,2022/11/07 12:00:00+00,12:15,0.9101796407185628,0.0,0.37037037037037035,3651
3725,N01111A,WE,09/02/2022,2022/11/07 18:15:00+00,18:30,0.844311377245509,0.25,0.30864197530864196,3726
3766,N01111A,TH,10/02/2022,2022/11/07 17:30:00+00,17:45,0.8143712574850299,0.0,0.37037037037037035,3767
3874,N01111A,FR,11/02/2022,2022/11/07 13:00:00+00,13:15,0.9141716566866267,0.25,0.38271604938271603,3875
3875,N01111A,FR,11/02/2022,2022/11/07 13:15:00+00,13:30,0.9540918163672655,0.0,0.4074074074074074,3876
3954,N01111A,WE,09/02/2022,2022/11/07 11:45:00+00,12:00,0.8642714570858283,0.0,0.38271604938271603,3955
4184,N01111A,TU,15/02/2022,2022/11/07 18:00:00+00,18:15,0.9241516966067864,0.0,0.4074074074074074,4185
4204,N01111A,SA,12/02/2022,2022/11/07 12:00:00+00,12:15,0.9520958083832335,0.0,0.35802469135802467,4205
4336,N01111A,SU,13/02/2022,2022/11/07 12:15:00+00,12:30,0.6387225548902196,0.0,0.2962962962962963,4337
4373,N01111A,MO,14/02/2022,2022/11/07 12:15:00+00,12:30,0.7544910179640718,0.0,0.37037037037037035,4374
4381,N01111A,MO,14/02/2022,2022/11/07 14:15:00+00,14:30,0.9001996007984032,0.5,0.3950617283950617,4382
4388,N01111A,MO,14/02/2022,2022/11/07 16:00:00+00,16:15,0.8183632734530938,0.0,0.345679012345679,4389
4533,N01111A,TH,17/02/2022,2022/11/07 09:45:00+00,10:00,0.8522954091816367,0.0,0.32098765432098764,4534
4567,N01111A,WE,16/02/2022,2022/11/07 17:30:00+00,17:45,0.8662674650698603,0.0,0.35802469135802467,4568
4663,N01111A,TH,17/02/2022,2022/11/07 12:45:00+00,13:00,0.8702594810379242,0.0,0.345679012345679,4664
4677,N01111A,TH,17/02/2022,2022/11/07 16:15:00+00,16:30,0.8483033932135728,0.0,0.35802469135802467,4678
4712,N01111A,FR,18/02/2022,2022/11/07 13:30:00+00,13:45,0.9141716566866267,0.0,0.4074074074074074,4713
4941,N01111A,TU,22/02/2022,2022/11/07 16:15:00+00,16:30,0.9580838323353293,0.0,0.4074074074074074,4942
4948,N01111A,TU,22/02/2022,2022/11/07 18:00:00+00,18:15,0.8662674650698603,0.25,0.345679012345679,4949
