,site,day,date,start_time,end_time,flow,cong,dsat,ObjectId
92475,N01111R,TH,20/04/2023,2023/07/04 16:30:00+00,17:45,0.28383458646616544,0.4,0.4069767441860465,92476
92650,N01111R,TU,18/04/2023,2023/07/04 15:45:00+00,17:00,0.424812030075188,0.2,0.8255813953488372,92651
92651,N01111R,TU,18/04/2023,2023/07/04 16:00:00+00,17:15,0.20300751879699247,1.0,0.5697674418604651,92652
92652,N01111R,TU,18/04/2023,2023/07/04 16:15:00+00,17:30,0.32706766917293234,0.8,0.627906976744186,92653
92653,N01111R,TU,18/04/2023,2023/07/04 16:30:00+00,17:45,0.28383458646616544,1.0,0.7093023255813954,92654
92654,N01111R,TU,18/04/2023,2023/07/04 16:45:00+00,18:00,0.5451127819548872,0.2,0.9767441860465116,92655
92731,N01111R,WE,19/04/2023,2023/07/04 16:00:00+00,17:15,0.45112781954887216,0.0,0.7093023255813954,92732
92733,N01111R,WE,19/04/2023,2023/07/04 16:30:00+00,17:45,0.37781954887218044,0.0,0.5697674418604651,92734
92734,N01111R,WE,19/04/2023,2023/07/04 16:45:00+00,18:00,0.4473684210526316,0.2,0.7209302325581395,92735
93078,N01111R,FR,21/04/2023,2023/07/04 15:30:00+00,16:45,0.39097744360902253,0.0,0.5232558139534884,93079
93085,N01111R,FR,21/04/2023,2023/07/04 16:00:00+00,17:15,0.32706766917293234,0.4,0.37209302325581395,93086
93253,N01111R,WE,26/04/2023,2023/07/04 15:30:00+00,16:45,0.31390977443609025,0.0,0.6395348837209303,93254
93268,N01111R,WE,26/04/2023,2023/07/04 16:00:00+00,17:15,0.44360902255639095,0.0,0.813953488372093,93269
93275,N01111R,WE,26/04/2023,2023/07/04 16:15:00+00,17:30,0.45864661654135336,0.0,0.7325581395348837,93276
93290,N01111R,TU,25/04/2023,2023/07/04 16:00:00+00,17:15,0.38345864661654133,0.0,0.6744186046511628,93291
93469,N01111R,FR,28/04/2023,2023/07/04 09:00:00+00,10:15,0.12781954887218044,0.4,0.11627906976744186,93470
93473,N01111R,FR,28/04/2023,2023/07/04 09:15:00+00,10:30,0.005639097744360902,0.8,0.03488372093023256,93474
93504,N01111R,FR,28/04/2023,2023/07/04 13:15:00+00,14:30,0.4266917293233083,0.0,0.8488372093023255,93505
93506,N01111R,FR,28/04/2023,2023/07/04 13:45:00+00,15:00,0.33270676691729323,0.2,0.6627906976744186,93507
93507,N01111R,FR,28/04/2023,2023/07/04 14:00:00+00,15:15,0.32706766917293234,0.0,0.47674418604651164,93508
93579,N01111R,TH,27/04/2023,2023/07/04 13:15:00+00,14:30,0.325187969924812,0.0,0.6627906976744186,93580
94037,N01111R,WE,03/05/2023,2023/07/04 10:45:00+00,12:00,0.08834586466165413,0.8,0.37209302325581395,94038
94096,N01111R,WE,03/05/2023,2023/07/04 11:15:00+00,12:30,0.2650375939849624,0.4,0.813953488372093,94097
94103,N01111R,WE,03/05/2023,2023/07/04 11:30:00+00,12:45,0.20300751879699247,0.2,0.5465116279069767,94104
94157,N01111R,WE,03/05/2023,2023/07/04 11:45:00+00,13:00,0.19360902255639098,0.0,0.7093023255813954,94158
94167,N01111R,WE,03/05/2023,2023/07/04 12:15:00+00,13:30,0.2274436090225564,0.4,0.5813953488372093,94168
94173,N01111R,WE,03/05/2023,2023/07/04 12:30:00+00,13:45,0.18609022556390978,0.0,0.5,94174
94216,N01111R,WE,03/05/2023,2023/07/04 13:00:00+00,14:15,0.212406015037594,1.0,0.9534883720930233,94217
94232,N01111R,TH,04/05/2023,2023/07/04 16:15:00+00,17:30,0.2274436090225564,0.6,0.6627906976744186,94233
94237,N01111R,TH,04/05/2023,2023/07/04 16:30:00+00,17:45,0.287593984962406,0.2,0.46511627906976744,94238
94241,N01111R,WE,03/05/2023,2023/07/04 14:15:00+00,15:30,0.30451127819548873,0.0,0.7093023255813954,94242
94274,N01111R,WE,03/05/2023,2023/07/04 14:45:00+00,16:00,0.18233082706766918,0.2,0.4418604651162791,94275
94278,N01111R,WE,03/05/2023,2023/07/04 15:00:00+00,16:15,0.28383458646616544,0.8,0.8372093023255814,94279
94290,N01111R,WE,03/05/2023,2023/07/04 15:45:00+00,17:00,0.2349624060150376,0.4,0.6627906976744186,94291
94294,N01111R,WE,03/05/2023,2023/07/04 16:00:00+00,17:15,0.30639097744360905,0.0,0.686046511627907,94295
94298,N01111R,WE,03/05/2023,2023/07/04 16:15:00+00,17:30,0.32142857142857145,0.4,0.7790697674418605,94299
94302,N01111R,WE,03/05/2023,2023/07/04 16:30:00+00,17:45,0.3176691729323308,1.0,0.9651162790697675,94303
94339,N01111R,WE,03/05/2023,2023/07/04 17:00:00+00,18:15,0.17857142857142858,0.4,0.4418604651162791,94340
94345,N01111R,WE,03/05/2023,2023/07/04 17:30:00+00,18:45,0.2236842105263158,0.4,0.5813953488372093,94346
94348,N01111R,WE,03/05/2023,2023/07/04 17:45:00+00,19:00,0.23684210526315788,0.4,0.5813953488372093,94349
94357,N01111R,WE,03/05/2023,2023/07/04 18:30:00+00,19:45,0.11654135338345864,0.0,0.3023255813953488,94358
94360,N01111R,WE,03/05/2023,2023/07/04 18:45:00+00,20:00,0.19736842105263158,0.0,0.5,94361
94369,N01111R,WE,03/05/2023,2023/07/04 19:30:00+00,20:45,0.06015037593984962,0.0,0.3372093023255814,94370
94555,N01111R,TU,09/05/2023,2023/07/04 16:00:00+00,17:15,0.3815789473684211,0.0,0.5930232558139535,94556
97288,N01111R,FR,09/06/2023,2023/07/04 13:30:00+00,14:45,0.28383458646616544,0.2,0.6162790697674418,97289
97442,N01111R,TU,06/06/2023,2023/07/04 16:15:00+00,17:30,0.33646616541353386,0.4,0.43023255813953487,97443
99469,N01111R,FR,30/06/2023,2023/07/04 13:45:00+00,15:00,0.2556390977443609,0.0,0.6627906976744186,99470
122143,N01121E,TH,09/03/2023,2023/07/04 18:30:00+00,19:45,0.7048872180451128,0.4,0.16279069767441862,122144
123002,N01121E,SA,18/03/2023,2023/07/03 23:45:00+00,01:00,0.16541353383458646,0.6,0.011627906976744186,123003
126535,N01121E,FR,28/04/2023,2023/07/04 07:00:00+00,08:15,0.9229323308270677,0.0,0.2558139534883721,126536
129587,N01121E,SA,27/05/2023,2023/07/04 18:45:00+00,20:00,0.5808270676691729,0.0,0.11627906976744186,129588
133139,N01121G,FR,06/01/2023,2023/07/04 14:00:00+00,15:15,0.9830827067669173,0.4,0.9534883720930233,133140
133203,N01121G,TU,10/01/2023,2023/07/04 21:30:00+00,22:45,0.8045112781954887,0.8,0.313953488372093,133204
133501,N01121G,TU,10/01/2023,2023/07/04 14:30:00+00,15:45,0.9586466165413534,0.4,0.9651162790697675,133502
133505,N01121G,TU,10/01/2023,2023/07/04 14:45:00+00,16:00,0.731203007518797,0.4,0.5813953488372093,133506
133583,N01121G,TU,10/01/2023,2023/07/04 16:30:00+00,17:45,0.5883458646616542,0.0,0.5697674418604651,133584
133755,N01121G,SA,14/01/2023,2023/07/04 00:00:00+00,01:15,0.5545112781954887,0.2,0.5,133756
133896,N01121G,TH,12/01/2023,2023/07/04 04:00:00+00,05:15,0.5657894736842105,0.4,0.5232558139534884,133897
134064,N01121G,WE,18/01/2023,2023/07/04 16:15:00+00,17:30,0.6860902255639098,0.0,0.6511627906976745,134065
134182,N01121G,MO,16/01/2023,2023/07/04 15:45:00+00,17:00,0.7800751879699248,0.6,0.7674418604651163,134183
134318,N01121G,TU,17/01/2023,2023/07/04 21:15:00+00,22:30,0.8533834586466166,0.4,0.32558139534883723,134319
134330,N01121G,TU,17/01/2023,2023/07/04 22:15:00+00,23:30,0.7142857142857143,0.6,0.5813953488372093,134331
134393,N01121G,MO,16/01/2023,2023/07/04 00:00:00+00,01:15,0.631578947368421,1.0,0.36046511627906974,134394
134589,N01121G,SU,22/01/2023,2023/07/04 22:00:00+00,23:15,0.7124060150375939,0.6,0.26744186046511625,134590
134663,N01121G,MO,23/01/2023,2023/07/04 03:00:00+00,04:15,0.4906015037593985,0.4,0.45348837209302323,134664
134695,N01121G,FR,20/01/2023,2023/07/04 22:30:00+00,23:45,0.9285714285714286,0.0,0.32558139534883723,134696
134715,N01121G,SA,21/01/2023,2023/07/04 02:15:00+00,03:30,0.7763157894736842,0.4,0.27906976744186046,134716
134727,N01121G,SU,22/01/2023,2023/07/03 23:15:00+00,00:30,0.8327067669172933,0.4,0.7325581395348837,134728
134811,N01121G,MO,23/01/2023,2023/07/04 22:00:00+00,23:15,0.5338345864661654,0.2,0.13953488372093023,134812
134819,N01121G,FR,27/01/2023,2023/07/04 15:30:00+00,16:45,0.9473684210526315,0.2,0.8953488372093024,134820
134876,N01121G,TU,24/01/2023,2023/07/03 23:15:00+00,00:30,0.7951127819548872,0.6,0.37209302325581395,134877
134943,N01121G,TU,24/01/2023,2023/07/04 22:45:00+00,24:00,0.9793233082706767,0.4,0.5930232558139535,134944
135000,N01121G,WE,25/01/2023,2023/07/04 03:00:00+00,04:15,0.7218045112781954,0.8,0.1744186046511628,135001
135052,N01121G,TH,26/01/2023,2023/07/04 16:15:00+00,17:30,0.9981203007518797,0.4,0.8023255813953488,135053
135056,N01121G,TU,24/01/2023,2023/07/04 03:45:00+00,05:00,0.43796992481203006,0.2,0.36046511627906974,135057
